,Player,Age,Team,Games Played,Minutes Played,PTS,FG%,3P%,FT%,Offensive Production per Minute,True Shooting,3PAr,TRB%,Field Goals Assisted,Possessions end by steal,Two-point attempts blocked,Turnovers per 100 plays,Plays Used,Win Shares,Box Plus/Minus,Value Over Replacement
0,Shai Gilgeous-Alexander,26.0,OKC,76.0,34.2,32.7,0.519,0.375,0.898,30.7,0.637,0.263,7.8,31.3,2.4,3.0,8.6,34.8,16.7,11.5,8.9
1,Giannis Antetokounmpo,30.0,MIL,67.0,34.2,30.4,0.601,0.222,0.617,30.5,0.625,0.048,19.0,36.0,1.2,3.2,11.2,35.2,11.5,9.5,6.6
2,Nikola Jokić,29.0,DEN,70.0,36.7,29.6,0.576,0.417,0.8,32.0,0.663,0.243,19.1,44.1,2.4,1.6,12.8,29.5,16.4,13.3,9.8
3,Luka Dončić,25.0,LAL,50.0,35.4,28.2,0.45,0.368,0.782,24.1,0.587,0.469,12.8,36.1,2.5,1.1,13.0,33.9,5.9,6.7,3.9
4,Anthony Edwards,23.0,MIN,79.0,36.3,27.6,0.447,0.395,0.837,20.1,0.595,0.503,8.7,20.9,1.6,1.7,12.0,31.4,8.4,4.3,4.6
5,Jayson Tatum,26.0,BOS,72.0,36.4,26.8,0.452,0.343,0.814,21.7,0.582,0.497,12.9,27.0,1.5,1.3,11.2,31.2,9.5,5.2,4.8
6,Kevin Durant,36.0,PHO,62.0,36.5,26.6,0.527,0.43,0.839,21.2,0.642,0.331,9.2,19.6,1.1,3.2,12.9,28.7,5.2,3.2,3.0
7,Tyrese Maxey,24.0,PHI,52.0,37.7,26.3,0.437,0.337,0.879,19.5,0.562,0.438,5.0,28.0,2.3,1.1,9.2,29.8,3.8,2.0,2.0
8,Cade Cunningham,23.0,DET,70.0,35.0,26.1,0.469,0.356,0.846,20.6,0.565,0.287,9.6,43.0,1.4,2.1,16.0,33.2,5.9,3.9,3.7
9,Jalen Brunson,28.0,NYK,65.0,35.4,26.0,0.488,0.383,0.821,21.6,0.605,0.331,4.7,32.3,1.3,0.3,10.5,29.5,8.3,3.3,3.1
10,Paolo Banchero,22.0,ORL,46.0,34.4,25.9,0.452,0.32,0.727,20.0,0.551,0.299,12.5,26.0,1.1,1.7,11.2,33.6,3.5,3.5,2.2
11,Devin Booker,28.0,PHO,75.0,37.3,25.6,0.461,0.332,0.894,19.3,0.589,0.388,6.1,30.6,1.2,0.5,11.9,29.3,6.4,0.4,1.7
12,LaMelo Ball,23.0,CHO,47.0,32.0,25.2,0.405,0.339,0.843,19.1,0.536,0.526,8.2,43.8,1.8,0.8,13.1,35.9,2.0,3.2,2.0
13,Damian Lillard,34.0,MIL,58.0,36.1,24.9,0.448,0.376,0.921,21.3,0.621,0.528,7.1,29.7,1.6,0.4,12.2,27.8,7.6,4.0,3.2
14,Anthony Davis,31.0,LAL,51.0,33.5,24.7,0.516,0.282,0.775,26.3,0.588,0.136,19.4,18.3,1.7,6.0,9.5,30.4,6.7,5.4,3.2
15,Kyrie Irving,32.0,DAL,50.0,36.1,24.7,0.473,0.401,0.916,19.9,0.594,0.38,7.2,20.5,1.8,1.1,9.7,27.4,4.6,3.4,2.5
16,Zion Williamson,24.0,NOP,30.0,28.6,24.6,0.567,0.231,0.656,27.3,0.6,0.026,13.6,36.6,2.1,3.0,12.8,34.7,2.5,7.0,1.9
17,Stephen Curry,36.0,GSW,70.0,32.2,24.5,0.448,0.397,0.933,21.5,0.618,0.623,7.4,31.3,1.7,1.3,12.6,29.8,7.9,6.3,4.8
18,LeBron James,40.0,LAL,70.0,34.9,24.4,0.513,0.376,0.782,22.7,0.604,0.312,12.6,40.3,1.4,1.5,15.5,30.1,7.7,5.6,4.7
19,Karl-Anthony Towns,29.0,NYK,72.0,35.0,24.4,0.526,0.42,0.829,23.4,0.63,0.278,21.0,13.8,1.4,1.9,12.1,27.4,10.1,3.6,3.5
20,Victor Wembanyama,21.0,SAS,46.0,33.2,24.3,0.476,0.352,0.836,24.2,0.594,0.47,17.7,18.3,1.6,10.4,13.7,30.4,3.8,6.5,3.3
21,Franz Wagner,23.0,ORL,60.0,33.7,24.2,0.463,0.295,0.871,20.1,0.558,0.303,9.7,26.6,1.9,1.0,9.6,31.0,5.6,3.1,2.6
22,Trae Young,26.0,ATL,76.0,36.0,24.2,0.411,0.34,0.875,18.3,0.567,0.467,4.7,46.4,1.6,0.4,17.9,29.6,5.7,0.5,1.7
23,Donovan Mitchell,28.0,CLE,71.0,31.4,24.0,0.443,0.368,0.823,20.9,0.575,0.48,7.8,23.9,2.0,0.7,9.2,30.9,7.6,3.7,3.2
24,Cam Thomas,23.0,BRK,25.0,31.2,24.0,0.438,0.349,0.881,18.0,0.575,0.43,6.0,22.9,1.0,0.3,10.6,32.6,1.2,0.3,0.5
25,Tyler Herro,25.0,MIA,77.0,35.4,23.9,0.472,0.375,0.878,19.7,0.605,0.486,8.1,26.2,1.3,0.6,11.5,28.0,7.4,3.1,3.5
26,Joel Embiid,30.0,PHI,19.0,30.2,23.8,0.444,0.299,0.882,23.4,0.58,0.244,15.3,25.6,1.2,3.1,13.7,34.2,1.4,3.5,0.8
27,De'Aaron Fox,27.0,SAC,62.0,36.1,23.5,0.463,0.31,0.827,18.3,0.56,0.328,7.4,27.2,2.0,1.1,11.8,28.3,4.3,0.4,1.3
28,Zach LaVine,29.0,CHI,74.0,35.2,23.3,0.511,0.446,0.825,17.3,0.639,0.438,6.5,18.3,1.1,0.4,13.4,25.3,5.1,0.7,1.8
29,Ja Morant,25.0,MEM,50.0,30.4,23.2,0.454,0.309,0.824,19.3,0.563,0.321,7.1,36.0,1.9,0.7,15.2,32.2,3.5,2.4,1.7
30,James Harden,35.0,LAC,79.0,35.3,22.8,0.41,0.352,0.874,20.0,0.582,0.516,9.3,36.8,2.1,2.0,18.0,29.6,8.3,4.3,4.4
31,Jaylen Brown,28.0,BOS,63.0,34.3,22.2,0.463,0.324,0.764,17.8,0.555,0.32,9.3,21.4,1.7,0.8,11.4,28.9,5.2,0.0,1.1
32,DeMar DeRozan,35.0,SAC,77.0,35.9,22.2,0.477,0.328,0.857,17.7,0.569,0.196,6.0,18.7,1.1,1.1,6.5,25.0,7.1,-0.1,1.3
33,Brandon Ingram,27.0,NOP,18.0,33.1,22.2,0.465,0.374,0.855,16.0,0.56,0.345,9.1,26.8,1.3,1.8,16.2,30.2,0.0,-0.3,0.3
34,Jaren Jackson Jr.,25.0,MEM,74.0,29.8,22.2,0.488,0.375,0.781,19.6,0.591,0.321,10.0,10.1,1.9,4.7,9.9,28.1,6.4,2.3,2.4
35,Norman Powell,31.0,LAC,60.0,32.6,21.8,0.484,0.418,0.804,17.5,0.615,0.453,5.5,10.2,1.8,0.5,9.2,26.1,5.3,1.5,1.8
36,Jalen Williams,23.0,OKC,69.0,32.4,21.6,0.484,0.365,0.789,20.3,0.573,0.291,8.8,23.4,2.4,2.1,10.3,27.5,7.8,4.0,3.4
37,Kawhi Leonard,33.0,LAC,37.0,31.9,21.5,0.498,0.411,0.81,20.5,0.589,0.305,10.5,16.4,2.5,1.4,9.6,27.7,3.5,3.1,1.5
38,Jamal Murray,27.0,DEN,67.0,36.1,21.4,0.474,0.393,0.886,17.8,0.584,0.354,5.9,23.2,1.8,1.2,10.1,24.0,6.2,0.8,1.7
39,Trey Murphy III,24.0,NOP,53.0,35.0,21.2,0.454,0.361,0.887,17.3,0.598,0.522,7.8,15.9,1.5,2.0,9.9,23.7,3.5,0.8,1.3
40,RJ Barrett,24.0,TOR,58.0,32.2,21.1,0.468,0.35,0.63,16.5,0.547,0.312,10.5,27.3,1.2,0.9,12.9,28.7,2.4,0.6,1.2
41,CJ McCollum,33.0,NOP,56.0,32.7,21.1,0.444,0.373,0.717,15.8,0.55,0.459,6.2,20.6,1.2,1.3,9.0,27.2,1.5,-1.4,0.3
42,Jalen Green,22.0,HOU,82.0,32.9,21.0,0.423,0.354,0.813,15.1,0.544,0.46,7.4,16.0,1.3,0.9,11.4,27.3,5.1,0.5,1.7
43,Brandon Miller,22.0,CHO,27.0,34.2,21.0,0.403,0.355,0.861,14.0,0.54,0.597,7.6,18.3,1.5,2.1,12.6,27.7,0.4,0.0,0.4
44,Darius Garland,25.0,CLE,75.0,30.7,20.6,0.472,0.401,0.878,19.9,0.6,0.451,5.0,32.2,1.9,0.4,12.8,27.2,8.1,3.1,3.0
45,Jordan Poole,25.0,WAS,68.0,29.4,20.5,0.432,0.378,0.883,16.6,0.591,0.588,5.3,25.6,2.0,1.2,14.8,29.0,2.0,0.4,1.2
46,Coby White,24.0,CHI,74.0,33.1,20.4,0.453,0.37,0.902,15.5,0.601,0.521,5.8,19.5,1.3,0.6,12.4,24.4,4.5,-0.9,0.7
47,Miles Bridges,26.0,CHO,64.0,31.7,20.3,0.431,0.313,0.87,17.7,0.541,0.413,12.6,21.7,1.1,2.2,10.2,28.0,3.2,1.8,2.0
48,Austin Reaves,26.0,LAL,73.0,34.9,20.2,0.46,0.377,0.877,18.1,0.616,0.512,7.3,24.9,1.6,0.8,12.9,23.7,7.6,1.9,2.6
49,Pascal Siakam,30.0,IND,78.0,32.7,20.2,0.519,0.389,0.734,19.2,0.599,0.274,11.8,15.7,1.3,1.5,7.6,24.2,7.5,1.7,2.4
50,Kristaps Porziņģis,29.0,BOS,42.0,28.8,19.5,0.483,0.412,0.809,22.3,0.618,0.436,12.8,11.4,1.3,4.8,7.4,25.9,5.3,4.7,2.1
51,Scottie Barnes,23.0,TOR,65.0,32.8,19.3,0.446,0.271,0.755,17.8,0.523,0.263,12.6,27.7,2.1,2.8,13.4,27.0,3.5,2.4,2.3
52,Anfernee Simons,25.0,POR,70.0,32.7,19.3,0.426,0.363,0.902,14.9,0.557,0.527,4.5,23.3,1.3,0.2,10.6,24.6,4.2,-0.1,1.1
53,Desmond Bane,26.0,MEM,69.0,32.0,19.2,0.484,0.392,0.894,17.9,0.6,0.411,10.0,23.6,1.7,1.2,13.3,23.3,6.5,3.2,2.9
54,Domantas Sabonis,28.0,SAC,70.0,34.7,19.1,0.59,0.417,0.754,22.9,0.655,0.175,22.4,26.0,1.0,1.0,16.5,21.6,10.1,5.2,4.4
55,Alperen Şengün,22.0,HOU,76.0,31.5,19.1,0.496,0.233,0.692,21.4,0.545,0.079,17.5,24.1,1.7,2.3,12.7,26.2,8.3,4.4,3.9
56,John Collins,27.0,UTA,40.0,30.5,19.0,0.527,0.399,0.848,19.0,0.628,0.279,14.4,10.8,1.5,3.1,14.6,24.2,2.5,1.0,0.9
57,Lauri Markkanen,27.0,UTA,47.0,31.4,19.0,0.423,0.346,0.876,15.6,0.571,0.57,10.1,7.5,1.1,1.1,7.8,24.0,2.2,-0.3,0.7
58,Jalen Johnson,23.0,ATL,36.0,35.7,18.9,0.5,0.312,0.746,17.3,0.569,0.26,15.3,20.5,2.0,2.6,15.1,22.5,2.4,1.8,1.2
59,Cameron Johnson,28.0,BRK,57.0,31.6,18.8,0.475,0.39,0.893,18.2,0.632,0.546,7.8,18.5,1.5,1.4,10.5,22.9,5.1,3.1,2.3
60,Julius Randle,30.0,MIN,69.0,32.3,18.7,0.485,0.344,0.806,17.5,0.593,0.334,12.1,22.5,1.0,0.7,15.3,25.0,6.2,1.3,1.8
61,Tyrese Haliburton,24.0,IND,73.0,33.6,18.6,0.473,0.388,0.851,21.8,0.616,0.559,5.9,38.9,2.1,1.8,9.8,21.6,10.4,5.8,4.9
62,Evan Mobley,23.0,CLE,71.0,30.5,18.5,0.557,0.37,0.725,22.3,0.633,0.254,16.5,15.1,1.4,4.7,12.2,23.2,9.0,4.6,3.6
63,Shaedon Sharpe,21.0,POR,72.0,31.3,18.5,0.452,0.311,0.785,14.5,0.551,0.428,7.8,14.2,1.3,0.6,11.0,25.1,3.0,-1.3,0.4
64,Nikola Vučević,34.0,CHI,73.0,31.2,18.5,0.53,0.402,0.805,20.3,0.611,0.309,16.9,17.1,1.2,2.0,9.7,22.4,7.3,2.6,2.7
65,Collin Sexton,26.0,UTA,63.0,27.9,18.4,0.48,0.406,0.865,16.6,0.593,0.313,5.2,25.1,1.3,0.3,14.1,27.0,2.4,-0.6,0.6
66,Michael Porter Jr.,26.0,DEN,77.0,33.7,18.2,0.504,0.395,0.768,16.2,0.617,0.467,11.4,8.7,0.9,1.3,8.4,20.2,6.4,-0.1,1.2
67,Bam Adebayo,27.0,MIA,78.0,34.3,18.1,0.485,0.357,0.765,18.9,0.561,0.199,15.5,20.0,1.8,1.9,11.4,23.5,7.5,2.0,2.7
68,Andrew Wiggins,29.0,GSW,60.0,30.7,18.0,0.448,0.374,0.763,16.4,0.566,0.415,7.9,13.5,1.6,2.6,9.4,24.5,4.0,0.9,1.4
69,OG Anunoby,27.0,NYK,74.0,36.6,18.0,0.476,0.372,0.81,15.4,0.591,0.448,7.6,8.5,2.0,2.2,8.3,19.7,6.5,0.7,1.9
70,Mikal Bridges,28.0,NYK,82.0,37.0,17.6,0.5,0.354,0.814,14.0,0.585,0.391,4.9,14.4,1.2,1.3,9.7,19.6,5.7,-0.5,1.2
71,Jaden Ivey,22.0,DET,30.0,29.9,17.6,0.46,0.409,0.733,14.7,0.569,0.373,7.6,19.7,1.5,1.2,16.1,26.0,1.2,0.0,0.5
72,Jimmy Butler,35.0,GSW,55.0,31.7,17.5,0.504,0.308,0.842,22.4,0.626,0.174,9.2,25.5,2.2,1.0,8.8,20.8,8.7,4.9,3.0
73,Dejounte Murray,28.0,NOP,31.0,32.6,17.5,0.393,0.299,0.823,15.4,0.494,0.352,10.7,34.6,3.0,1.1,16.2,27.3,0.2,-1.6,0.1
74,Malik Monk,26.0,SAC,65.0,31.6,17.2,0.439,0.325,0.865,15.0,0.549,0.456,6.7,25.7,1.5,1.8,13.5,24.6,2.8,-0.8,0.6
75,Immanuel Quickley,25.0,TOR,33.0,27.8,17.1,0.42,0.378,0.867,17.5,0.57,0.514,6.8,31.5,1.2,0.4,10.5,25.1,2.5,2.2,1.0
76,De'Andre Hunter,27.0,ATL,64.0,27.2,17.0,0.47,0.405,0.846,15.9,0.623,0.509,8.1,7.5,1.4,0.7,8.6,22.8,4.4,0.4,1.0
77,Bradley Beal,31.0,PHO,53.0,32.1,17.0,0.497,0.386,0.803,15.2,0.598,0.38,5.8,17.6,1.7,1.5,11.6,22.1,2.4,-1.1,0.4
78,Deni Avdija,24.0,POR,72.0,30.0,16.9,0.476,0.365,0.78,17.7,0.605,0.405,13.1,19.9,1.6,1.5,16.3,23.2,5.6,2.1,2.2
79,Keyonte George,21.0,UTA,67.0,31.5,16.8,0.391,0.343,0.818,12.9,0.539,0.552,6.5,26.9,1.0,0.4,14.9,24.3,1.1,-2.7,-0.3
80,Ivica Zubac,27.0,LAC,80.0,32.8,16.8,0.628,0.0,0.661,22.3,0.641,0.0,21.8,12.8,1.0,3.4,10.8,19.5,11.7,3.1,3.4
81,Derrick White,30.0,BOS,76.0,33.9,16.4,0.442,0.384,0.839,16.6,0.606,0.721,7.2,20.2,1.4,2.9,11.3,19.8,8.5,3.5,3.6
82,Malik Beasley,28.0,DET,82.0,27.8,16.3,0.43,0.416,0.679,14.4,0.59,0.715,5.2,8.9,1.5,0.2,6.8,22.5,4.7,0.8,1.6
83,Devin Vassell,24.0,SAS,64.0,31.0,16.3,0.443,0.368,0.792,14.2,0.553,0.483,6.9,13.8,2.0,1.5,8.5,22.1,2.2,-1.1,0.4
84,Jordan Clarkson,32.0,UTA,37.0,26.0,16.2,0.408,0.362,0.797,14.5,0.54,0.471,6.6,22.9,1.5,0.9,13.4,27.8,0.4,-1.5,0.1
85,Paul George,34.0,PHI,41.0,32.5,16.2,0.43,0.358,0.814,14.5,0.543,0.47,9.3,20.9,2.8,1.5,14.7,23.5,1.0,-0.4,0.5
86,Jalen Suggs,23.0,ORL,35.0,28.6,16.2,0.41,0.314,0.882,14.4,0.536,0.503,8.1,21.6,2.5,3.2,16.2,27.5,1.1,0.4,0.6
87,Bennedict Mathurin,22.0,IND,72.0,29.8,16.1,0.458,0.34,0.831,13.6,0.579,0.338,9.9,8.8,1.1,1.0,11.9,22.8,3.0,-2.9,-0.5
88,Myles Turner,28.0,IND,72.0,30.2,15.6,0.481,0.396,0.773,16.1,0.612,0.486,12.1,7.1,1.2,6.0,11.8,20.7,4.7,0.4,1.3
89,Christian Braun,23.0,DEN,79.0,33.9,15.4,0.58,0.397,0.827,16.0,0.665,0.273,8.4,10.1,1.5,1.2,8.1,15.8,8.0,0.3,1.6
90,Jonathan Kuminga,22.0,GSW,47.0,24.3,15.3,0.454,0.305,0.668,15.7,0.535,0.266,10.2,14.6,1.6,1.7,9.6,27.4,1.9,-0.6,0.4
91,Jared McCain,20.0,PHI,23.0,25.7,15.3,0.46,0.383,0.875,15.2,0.589,0.485,5.4,16.7,1.2,0.0,11.0,24.7,0.7,0.2,0.3
92,Mark Williams,23.0,CHO,44.0,26.6,15.3,0.604,0.0,0.804,23.9,0.647,0.009,20.3,16.5,1.3,4.5,12.0,21.4,4.7,3.5,1.6
93,Kelly Oubre Jr.,29.0,PHI,60.0,34.6,15.1,0.47,0.293,0.751,13.5,0.551,0.327,10.0,7.9,2.2,1.4,8.9,18.9,2.6,-2.3,-0.1
94,Chet Holmgren,22.0,OKC,32.0,27.4,15.0,0.49,0.379,0.754,19.2,0.599,0.34,15.7,9.7,1.3,8.2,12.3,22.0,3.2,2.4,1.0
95,Kyle Kuzma,29.0,MIL,65.0,29.8,14.8,0.436,0.307,0.634,10.6,0.514,0.369,10.2,12.1,0.9,0.9,13.5,24.0,-0.9,-4.9,-1.4
96,Stephon Castle,20.0,SAS,81.0,26.7,14.7,0.428,0.285,0.724,13.7,0.522,0.337,7.4,22.8,1.7,0.9,13.4,26.0,1.1,-3.2,-0.6
97,Aaron Gordon,29.0,DEN,51.0,28.4,14.7,0.531,0.436,0.81,17.0,0.65,0.346,9.4,15.0,0.8,0.9,11.3,19.0,4.3,1.2,1.2
98,P.J. Washington,26.0,DAL,57.0,32.2,14.7,0.453,0.381,0.722,14.0,0.556,0.359,13.1,10.1,1.7,2.8,13.6,20.4,2.4,-0.9,0.5
99,Quentin Grimes,24.0,DAL,75.0,26.8,14.6,0.467,0.385,0.757,15.9,0.595,0.512,8.9,17.7,1.8,1.0,13.3,22.8,3.4,0.4,1.2
100,Josh Giddey,22.0,CHI,70.0,30.2,14.6,0.465,0.378,0.781,18.1,0.57,0.348,14.0,32.9,1.9,1.8,18.4,21.7,5.3,3.0,2.7
101,Jakob Poeltl,29.0,TOR,57.0,29.6,14.5,0.627,0.333,0.674,20.0,0.641,0.005,17.4,14.5,1.9,4.0,14.7,18.7,5.5,2.0,1.7
102,Deandre Ayton,26.0,POR,40.0,30.2,14.4,0.566,0.188,0.667,17.7,0.583,0.068,18.2,8.5,1.2,2.9,12.2,19.4,2.8,-0.7,0.4
103,Gradey Dick,21.0,TOR,54.0,29.4,14.4,0.41,0.35,0.858,10.9,0.543,0.504,6.5,8.9,1.5,0.6,10.4,21.0,1.4,-3.2,-0.5
104,Jerami Grant,30.0,POR,47.0,32.4,14.4,0.373,0.365,0.849,10.9,0.523,0.516,5.8,9.5,1.3,2.7,9.1,19.4,1.8,-1.6,0.1
105,Payton Pritchard,27.0,BOS,80.0,28.4,14.3,0.472,0.407,0.845,17.6,0.633,0.723,7.3,18.1,1.5,0.6,8.4,19.0,8.6,3.5,3.2
106,Naz Reid,25.0,MIN,80.0,27.5,14.2,0.462,0.379,0.776,15.8,0.577,0.501,12.1,12.6,1.3,3.0,9.9,21.5,5.7,1.6,2.0
107,Dyson Daniels,21.0,ATL,76.0,33.8,14.1,0.493,0.34,0.593,15.6,0.545,0.255,9.6,17.9,4.2,2.0,13.6,18.2,5.0,1.5,2.3
108,Tre Mann,23.0,CHO,13.0,24.5,14.1,0.435,0.4,0.905,13.3,0.537,0.373,6.3,21.2,1.1,1.2,12.8,26.0,0.1,-2.4,0.0
109,Amen Thompson,22.0,HOU,69.0,32.2,14.1,0.557,0.275,0.684,18.7,0.602,0.131,13.5,16.9,2.1,3.6,14.6,17.5,8.0,4.1,3.4
110,Fred VanVleet,30.0,HOU,60.0,35.2,14.1,0.378,0.345,0.81,12.8,0.515,0.607,5.6,21.2,2.2,1.1,9.6,17.7,5.2,0.9,1.5
111,Dillon Brooks,29.0,HOU,75.0,31.8,14.0,0.429,0.397,0.818,11.0,0.555,0.524,6.1,7.4,1.2,0.6,7.4,17.7,5.1,-1.4,0.4
112,Tolu Smith,24.0,DET,1.0,22.0,14.0,0.667,0.0,0.667,19.5,0.678,0.0,20.1,0.0,0.0,0.0,16.2,23.6,0.1,-8.9,0.0
113,Klay Thompson,34.0,DAL,72.0,27.3,14.0,0.412,0.391,0.905,12.9,0.552,0.631,6.8,10.7,1.2,1.3,8.8,21.8,1.8,-1.0,0.5
114,Bobby Portis,29.0,MIL,49.0,25.4,13.9,0.466,0.365,0.836,17.7,0.542,0.299,18.0,12.9,1.4,1.9,8.3,24.1,2.7,0.2,0.7
115,Tobias Harris,32.0,DET,73.0,31.6,13.7,0.477,0.345,0.861,13.9,0.571,0.328,10.4,9.8,1.5,2.4,8.8,17.6,5.2,0.1,1.2
116,Josh Hart,29.0,NYK,77.0,37.6,13.6,0.525,0.333,0.776,16.5,0.611,0.327,14.6,20.7,2.0,0.9,15.5,15.3,9.2,2.8,3.6
117,Jarrett Allen,26.0,CLE,82.0,28.0,13.5,0.706,0.0,0.718,22.1,0.724,0.008,18.8,9.5,1.6,2.9,11.3,15.9,11.6,4.2,3.6
118,Onyeka Okongwu,24.0,ATL,74.0,27.9,13.4,0.567,0.324,0.759,19.0,0.634,0.216,17.5,11.4,1.6,3.0,10.4,17.3,7.2,1.3,1.7
119,Russell Westbrook,36.0,DEN,75.0,27.9,13.3,0.449,0.323,0.661,14.3,0.532,0.35,9.7,28.8,2.4,1.6,20.6,23.8,1.9,-1.1,0.5
120,Naji Marshall,27.0,DAL,69.0,27.8,13.2,0.508,0.275,0.813,15.1,0.584,0.306,9.3,15.8,1.8,0.5,12.5,20.0,3.5,-0.8,0.6
121,Dennis Schröder,31.0,DET,75.0,28.1,13.1,0.406,0.342,0.838,12.7,0.531,0.449,5.2,28.7,1.5,0.6,13.3,21.6,3.2,-2.2,-0.1
122,Rui Hachimura,26.0,LAL,59.0,31.7,13.1,0.509,0.413,0.77,13.6,0.619,0.429,8.9,6.4,1.2,1.3,7.3,15.8,4.3,-0.7,0.6
123,Brook Lopez,36.0,MIL,80.0,31.8,13.0,0.509,0.373,0.826,14.8,0.624,0.482,8.6,7.8,0.9,5.4,9.1,15.8,6.6,0.8,1.8
124,Alex Sarr,19.0,WAS,67.0,27.1,13.0,0.394,0.308,0.679,12.9,0.482,0.412,12.5,13.9,1.2,5.0,11.2,23.5,-0.3,-3.3,-0.6
125,Moritz Wagner,27.0,ORL,30.0,18.8,12.9,0.562,0.36,0.718,22.3,0.649,0.301,15.0,13.7,2.1,2.0,14.1,26.8,2.0,4.0,0.9
126,Malcolm Brogdon,32.0,WAS,24.0,23.5,12.7,0.433,0.286,0.88,15.8,0.544,0.233,8.4,27.4,1.1,0.8,11.9,23.7,0.7,-1.5,0.1
127,Scoot Henderson,20.0,POR,66.0,26.7,12.7,0.419,0.354,0.767,12.5,0.54,0.434,6.1,28.1,1.9,0.7,18.6,22.5,1.8,-2.2,-0.1
128,Keldon Johnson,25.0,SAS,77.0,23.9,12.7,0.482,0.318,0.773,15.6,0.572,0.356,10.8,10.2,1.3,1.1,8.3,21.6,3.2,-1.6,0.2
129,D'Angelo Russell,28.0,LAL,58.0,25.5,12.6,0.39,0.314,0.834,14.0,0.522,0.564,6.2,31.2,1.9,1.5,13.3,24.0,1.9,-0.4,0.6
130,Zaccharie Risacher,19.0,ATL,75.0,24.6,12.6,0.458,0.355,0.711,12.2,0.558,0.442,8.0,7.1,1.3,1.8,9.8,20.9,1.8,-3.5,-0.7
131,Santi Aldama,24.0,MEM,65.0,25.5,12.5,0.483,0.368,0.691,16.8,0.588,0.503,13.3,15.2,1.5,1.6,9.3,18.5,5.0,3.2,2.2
132,Ty Jerome,27.0,CLE,70.0,19.9,12.5,0.516,0.439,0.872,21.0,0.643,0.409,6.7,24.5,2.7,0.2,11.9,23.6,5.9,4.3,2.2
133,Keegan Murray,24.0,SAC,76.0,34.3,12.4,0.444,0.343,0.833,12.0,0.553,0.548,10.9,5.6,1.1,2.6,6.6,15.0,4.4,-1.6,0.2
134,Lonnie Walker IV,26.0,PHI,20.0,23.9,12.4,0.42,0.354,0.8,13.1,0.548,0.599,7.5,16.5,1.0,1.0,10.0,22.8,0.3,-2.4,0.0
135,Harrison Barnes,32.0,SAS,82.0,27.2,12.3,0.508,0.433,0.809,14.9,0.656,0.527,7.4,8.6,0.8,0.6,6.1,15.7,5.6,0.0,1.2
136,Bilal Coulibaly,20.0,WAS,59.0,33.0,12.3,0.421,0.281,0.746,10.8,0.515,0.359,7.8,14.9,1.9,1.9,15.1,17.9,0.3,-3.7,-0.8
137,Ayo Dosunmu,25.0,CHI,46.0,30.3,12.3,0.492,0.328,0.785,12.8,0.585,0.421,6.1,20.2,1.4,1.1,12.5,16.6,2.5,-1.6,0.1
138,Daniel Gafford,26.0,DAL,57.0,21.5,12.3,0.702,0.0,0.689,24.7,0.716,0.0,17.2,10.2,0.9,7.1,11.9,19.5,5.9,3.8,1.8
